split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
development,turbine_2,12,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2540054,0.3651794,0.3922222,0.5205060,0.3379348,0.5009984,3.3511111,7.4409259
development,turbine_2,13,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2369053,0.3320196,0.4011111,0.5096755,0.2749285,0.4178512,3.2122222,7.0079630
development,turbine_2,14,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2741373,0.3703134,0.4551852,0.5841069,0.3280182,0.4932307,3.2577778,7.7294444
development,turbine_2,15,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2537515,0.3599655,0.4544444,0.5778461,0.3836815,0.5117433,3.1533334,8.1774074
development,turbine_2,16,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2481273,0.3553890,0.4366667,0.5616252,0.3939832,0.5172645,3.0966667,7.9942593
development,turbine_2,17,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2629606,0.3626272,0.4166667,0.5334670,0.4323759,0.5618976,3.0300000,7.9651852
development,turbine_2,18,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2727855,0.3613155,0.4287037,0.5462789,0.4271340,0.5549272,3.0633333,7.6853704
development,turbine_2,19,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2288102,0.2834956,0.4133333,0.5250232,0.3779450,0.4793904,2.8733333,7.0581481
development,turbine_2,20,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2812714,0.3364844,0.4612963,0.5849578,0.3550320,0.5047086,2.7755556,6.8650000
development,turbine_2,21,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.2841556,0.3699058,0.4775926,0.6177041,0.3732866,0.5286697,2.7288888,6.7072222
development,turbine_2,22,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3034525,0.3766469,0.4979630,0.6237776,0.3406468,0.5063730,2.7211111,6.3320370
development,turbine_2,23,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3263072,0.4027146,0.5257407,0.6510189,0.3744807,0.5596639,2.6811111,7.1475926
development,turbine_2,24,9,9,0,0,0,9,2026-01-16T00:00:00+00:00,2026-01-24T00:00:00+00:00,0.3140043,0.3812545,0.5435185,0.6390171,0.3859394,0.5466738,2.7433333,6.6300000
holdout,turbine_1,1,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2676324,0.3135414,0.1280000,0.1903360,0.4328136,0.5497601,2.8980000,6.8743333
holdout,turbine_1,2,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2277681,0.2719410,0.2160000,0.2612002,0.3242031,0.4125286,2.9620000,6.0463333
holdout,turbine_1,3,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2057694,0.2594728,0.2880000,0.3832246,0.2539373,0.2950890,2.9520000,5.5146667
